payload_ratio,payload_regime,alpha,model,accuracy,auc,mse,psnr,ber,mean_shift_l2,fisher_separation,js_lsb_mean,js_lsb_transition,kl_cover_to_stego,kl_stego_to_cover,delta_mean_intensity,delta_grad_x_mean,delta_grad_y_mean,delta_lsb_mean,auc_excess,inv_psnr,payload_norm,auc_norm,divergence_proxy,divergence_norm,distortion_norm,tradeoff_score_legacy,tradeoff_score_payload_aware,feasible_payload,tradeoff_score_constrained,pareto_efficient
0.05,medium,1.0,rf,0.5909090909090909,0.628099173553719,0.0244140625,64.25440308835685,0.0,0.0033547337166288205,0.04930813972612761,0.0003934466949997986,0.0,0.0015781404114224122,0.00156987862481172,0.0010507193441355867,0.0003626987904734591,0.0006231779336705046,0.00023208916322386974,0.12809917355371903,0.015563135784249529,0.28571428571428575,0.19607843137254918,0.011657028812039873,0.04146513557469532,0.5567231044646391,0.20014227733562134,0.15728513447847847,True,0.15728513447847847,True
0.05,medium,0.75,logreg,0.6363636363636364,0.6694214876033058,0.0244293212890625,64.2516895957231,0.0,0.00331184300997294,0.045574975583824694,0.0003934466949997986,0.0,0.0015781404114224122,0.00156987862481172,0.0010447853705954913,0.00036824864517637224,0.0005104059457554655,0.00028464721443915986,0.16942148760330578,0.015563793050300812,0.28571428571428575,0.29411764705882365,0.010888950630251349,0.026775219520464803,0.5569519414864572,0.2357312520009371,0.19287410914379424,True,0.19287410914379424,True
0.1,medium,0.5,rf,0.5454545454545454,0.6033057851239669,0.0499267578125,61.147469964923246,0.0,0.005399022029907487,0.10913099533752021,0.0015487972907942838,0.0,0.006185603962481995,0.006211259999138109,0.0011147214871414235,0.002136281354933267,0.002000137946318148,7.869735055510141e-06,0.10330578512396693,0.01635390639340666,0.642857142857143,0.1372549019607844,0.024990349269696073,0.29647219461006313,0.8320417380493681,0.2954283570467032,0.19899978561813178,True,0.19899978561813178,True
0.1,medium,0.0,rf,0.5909090909090909,0.6611570247933884,0.050323486328125,61.11309640183109,0.0,0.0049054605024649875,0.09220020583617437,0.0015487972907942838,0.0,0.006185603962481995,0.006211259999138109,0.001104972816335703,0.0016622654832501027,0.0019426525778012405,2.3071698321219802e-05,0.16115702479338845,0.01636310478239878,0.642857142857143,0.2745098039215688,0.021357410605705656,0.22699025218602825,0.835244294971901,0.3336003436095148,0.23717177218094335,True,0.23717177218094335,True
0.1,medium,1.0,logreg,0.6363636363636364,0.6942148760330579,0.0498199462890625,61.15677105880516,0.0,0.005860659949510913,0.12346523812561429,0.0015487972907942838,0.0,0.006185603962481995,0.006211259999138109,0.001085899330007578,0.002285624103786965,0.0023260428984732684,0.0002019954403506552,0.19421487603305787,0.016351419191808738,0.642857142857143,0.3529411764705884,0.0280880167871166,0.35571678308263743,0.8311757815539448,0.39634082266968373,0.2999122512411123,True,0.2999122512411123,True
0.1,medium,1.0,rf,0.6818181818181818,0.6942148760330579,0.0498199462890625,61.15677105880516,0.0,0.005860659949510913,0.12346523812561429,0.0015487972907942838,0.0,0.006185603962481995,0.006211259999138109,0.001085899330007578,0.002285624103786965,0.0023260428984732684,0.0002019954403506552,0.19421487603305787,0.016351419191808738,0.642857142857143,0.3529411764705884,0.0280880167871166,0.35571678308263743,0.8311757815539448,0.39634082266968373,0.2999122512411123,True,0.2999122512411123,True
0.1,medium,0.25,rf,0.6818181818181818,0.7190082644628099,0.049652099609375,61.1714274289077,0.0,0.00567686082567351,0.12220810657071027,0.0034789522274092516,0.0,0.013910402197711613,0.013953696670360782,0.0011041251058543367,0.0022039392494921373,0.0018209531386466082,4.0025908390695086e-05,0.21900826446280985,0.016347501473006846,0.642857142857143,0.411764705882353,0.02832373739520159,0.3602250688628134,0.8298117690643357,0.42072450338151174,0.32429593195294026,True,0.32429593195294026,True
0.1,medium,0.75,rf,0.6818181818181818,0.743801652892562,0.0500946044921875,61.132894087622695,0.0,0.00525960706021572,0.1053479546830074,0.0015487972907942838,0.0,0.006185603962481995,0.006211259999138109,0.0010994626980789235,0.0018431192209744651,0.0019668918000101954,0.0001248537845346953,0.24380165289256195,0.016357805644972166,0.642857142857143,0.47058823529411775,0.024164033653947623,0.28066845572324933,0.8333993208939842,0.42508227222725625,0.32865370079868483,True,0.32865370079868483,True
0.15,high,0.5,rf,0.5909090909090909,0.6776859504132231,0.074737548828125,59.39541510702914,0.0,0.008190753118238728,0.24218264378467896,0.0,0.0,0.0,0.0,0.0010799653564959044,0.004442146642714029,0.0040830421262096905,0.00012909233705199474,0.1776859504132231,0.01683631637556575,1.0,0.3137254901960785,0.052531905316055165,0.8232195439252069,1.0,0.5312950820597331,0.38129508205973306,True,0.38129508205973306,True
0.15,high,0.75,rf,0.6363636363636364,0.7933884297520661,0.07440185546875,59.41496594545265,0.0,0.008282725198437757,0.2623418419934195,0.00038855212359880775,0.0,0.0015519982968550915,0.0015568327087408136,0.0011032773953445485,0.004565554748352518,0.004200052666641696,0.00026854071487319997,0.29338842975206614,0.016830776288217924,1.0,0.5882352941176473,0.05672629663498242,0.9034395759929832,0.9980711355975039,0.6607682387648055,0.5107682387648055,True,0.5107682387648055,True
