payload_ratio,alpha,model,auc_mean,auc_std,acc_mean,acc_std
0.1,0.0,logreg,0.7900826446280991,0.04979295977319694,0.7272727272727273,0.04545454545454548
0.1,0.0,rf,0.7305785123966941,0.0917690356528351,0.6909090909090909,0.11765617368677078
0.1,0.25,logreg,0.7917355371900826,0.05074407085292153,0.6909090909090909,0.05926547641093319
0.1,0.25,rf,0.7553719008264463,0.03902717009295071,0.7181818181818181,0.05926547641093322
0.1,0.5,logreg,0.8148760330578512,0.09361123133649009,0.7,0.08860722131644513
0.1,0.5,rf,0.7421487603305785,0.08985109371852484,0.6727272727272726,0.08743356391668793
0.1,0.75,logreg,0.7801652892561984,0.06283166217768003,0.7090909090909091,0.10464422212019399
0.1,0.75,rf,0.7206611570247934,0.07261448805450842,0.6545454545454545,0.06098367211363068
0.1,1.0,logreg,0.7603305785123967,0.056658302482653224,0.7090909090909091,0.08257228238447707
0.1,1.0,rf,0.7305785123966941,0.031794023242431926,0.7272727272727273,0.03214121732666125
0.15,0.0,logreg,0.9256198347107437,0.02263316353327127,0.8272727272727274,0.04979295977319692
0.15,0.0,rf,0.912396694214876,0.052464695035054125,0.7909090909090909,0.0942565516060351
0.15,0.25,logreg,0.9322314049586776,0.059135682049581195,0.8363636363636363,0.06893523130955953
0.15,0.25,rf,0.8859504132231404,0.05677872409030635,0.7909090909090909,0.06893523130955952
0.15,0.5,logreg,0.9239669421487603,0.0520726743868541,0.8454545454545455,0.06098367211363062
0.15,0.5,rf,0.8694214876033058,0.11590890676316012,0.7818181818181819,0.12196734422726123
0.15,0.75,logreg,0.909090909090909,0.005843857695756591,0.8,0.051826155686324475
0.15,0.75,rf,0.8826446280991735,0.06223091106451799,0.8,0.10464422212019399
0.15,1.0,logreg,0.9289256198347108,0.019903462113706274,0.8181818181818181,0.05567022142689041
0.15,1.0,rf,0.8545454545454545,0.0628316621776801,0.7636363636363637,0.08743356391668794
